DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200100785,05/16/2020 12:00:00 AM,05/15/2020 12:00:00 AM,1945,1,Central,142,1,110,CRIMINAL HOMICIDE,1218 1402 2004 0411 1822,57,M,H,138.0,STAIRWELL*,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,110.0,,,,300 S  OLIVE                        ST,,34.0523,-118.2502
201314412,07/24/2020 12:00:00 AM,07/23/2020 12:00:00 AM,2145,13,Newton,1367,1,110,CRIMINAL HOMICIDE,1822 0430 1407 0906 1100 1402 0851,31,M,A,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,1700 E  52ND                         ST,,33.9954,-118.2432
201214818,06/17/2020 12:00:00 AM,06/17/2020 12:00:00 AM,50,12,77th Street,1266,1,110,CRIMINAL HOMICIDE,0906 1822 1407 1100 0430,19,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,500 W  81ST                         ST,,33.9655,-118.2827
201113525,09/12/2020 12:00:00 AM,09/12/2020 12:00:00 AM,1200,11,Northeast,1137,1,110,CRIMINAL HOMICIDE,0913 1814 0400 0416 1402,37,M,W,101.0,STREET,302.0,BLUNT INSTRUMENT,AO,Adult Other,110.0,998.0,,,600 N  AVENUE 50,,34.1109,-118.2016
201319978,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,150,13,Newton,1331,1,110,CRIMINAL HOMICIDE,0906 1270 0913 1100 0430,30,F,B,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,3100 S  HILL                         ST,,34.0211,-118.274
201104267,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,720,11,Northeast,1102,1,110,CRIMINAL HOMICIDE,1218 0430 1202 1100 1822 1402,60,M,W,203.0,OTHER BUSINESS,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,4200    CHEVY CHASE                  DR,,34.1334,-118.2661
200104034,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,838,1,Central,164,1,110,CRIMINAL HOMICIDE,1218 2004 0411 1822,56,M,H,210.0,RESTAURANT/FAST FOOD,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,,,,100 E  7TH                          ST,,34.0446,-118.2507
201320250,11/21/2020 12:00:00 AM,11/21/2020 12:00:00 AM,1200,13,Newton,1347,1,110,CRIMINAL HOMICIDE,1419 1100 1402 0430 1822,46,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,1600 E  25TH                         ST,,34.0145,-118.2432
201516097,10/09/2020 12:00:00 AM,10/08/2020 12:00:00 AM,655,15,N Hollywood,1585,1,110,CRIMINAL HOMICIDE,2000 0913 1813 1100 0416 0430 1402,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",101.0,REVOLVER,AA,Adult Arrest,110.0,998.0,,,10900    BLUFFSIDE                    DR,,34.1412,-118.3681
201608211,04/18/2020 12:00:00 AM,04/18/2020 12:00:00 AM,200,16,Foothill,1693,1,110,CRIMINAL HOMICIDE,0411 2004 1402 1822 1218 0906,39,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,998.0,,,LAUREL CANYON,SATICOY,34.2085,-118.3965
202107254,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,105,21,Topanga,2183,1,110,CRIMINAL HOMICIDE,1100 0430 1402 1822,59,F,O,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,23100    GAINFORD                     ST,,34.1602,-118.6299
200914663,09/14/2020 12:00:00 AM,09/13/2020 12:00:00 AM,2215,9,Van Nuys,905,1,110,CRIMINAL HOMICIDE,1810 1414 0411 0913 1402,56,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,110.0,998.0,,,14500    VALERIO                      ST,,34.2048,-118.4495
200218817,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1308,2,Rampart,295,1,110,CRIMINAL HOMICIDE,1402 1407 1100 1822 0430 0906 1270 1816,35,M,B,103.0,ALLEY,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,1200    VENICE                       BL,,34.0424,-118.281
200416099,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,1719,4,Hollenbeck,464,1,110,CRIMINAL HOMICIDE,1822 0430 0906,22,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,200 S  SOTO                         ST,,34.0445,-118.2116
201217369,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,801,12,77th Street,1259,1,110,CRIMINAL HOMICIDE,1817 0411 0913,56,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",223.0,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,110.0,,,,800 E  76TH                         PL,,33.9703,-118.2608
201320891,12/05/2020 12:00:00 AM,12/05/2020 12:00:00 AM,1157,13,Newton,1303,1,110,CRIMINAL HOMICIDE,0906 1822 1100 0430 1816,26,M,H,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1100 E  10TH                         ST,,34.0332,-118.2477
200318021,09/29/2020 12:00:00 AM,09/29/2020 12:00:00 AM,918,3,Southwest,356,1,110,CRIMINAL HOMICIDE,0906 1822 1402 0430 1309 1100,34,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,1500 W  36TH                         ST,,34.0228,-118.3046
200410989,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,2230,4,Hollenbeck,499,1,110,CRIMINAL HOMICIDE,1100 0430 0906 1270 1822 1402 1419,34,M,W,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,BESWICK,CALZONA                      ST,34.0205,-118.1957
201310039,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,235,13,Newton,1383,1,110,CRIMINAL HOMICIDE,1100 1822 1218 0430 1402 0906,36,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,5800    WOODLAWN                     AV,,33.9892,-118.2728
201616053,12/27/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1900,16,Foothill,1664,1,110,CRIMINAL HOMICIDE,1100 0430 1822 1402 1816 1270 1419 0906,26,M,H,101.0,STREET,102.0,HAND GUN,AO,Adult Other,110.0,998.0,,,PENDLETON                    ST,NORRIS                       AV,34.2346,-118.3784
201304300,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1,13,Newton,1344,1,110,CRIMINAL HOMICIDE,1822 1218 0430 1501 1100,32,M,H,101.0,STREET,104.0,SHOTGUN,IC,Invest Cont,110.0,,,,41ST                         PL,AVALON                       BL,34.0082,-118.2652
201821877,12/09/2020 12:00:00 AM,12/09/2020 12:00:00 AM,1755,18,Southeast,1806,1,110,CRIMINAL HOMICIDE,1822 0906 1402 0430 1100,25,M,B,104.0,DRIVEWAY,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,900 E  91ST                         ST,,33.9538,-118.2586
201822433,12/21/2020 12:00:00 AM,12/21/2020 12:00:00 AM,925,18,Southeast,1846,1,110,CRIMINAL HOMICIDE,1100 1822 0430 0342 0906 0858,29,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,1300 E  114TH                        ST,,33.931,-118.2516
200416454,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,1330,4,Hollenbeck,404,1,110,CRIMINAL HOMICIDE,1100 1822 0430 1402 0906 1270,34,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,AVENUE 60,PASADENA,34.1077,-118.1861
200307523,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,6,3,Southwest,395,1,110,CRIMINAL HOMICIDE,1310 1240 0906 1100 1309 0342 0430 1822 1402 1407,26,F,B,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,4200 S  WESTERN                      AV,,34.0073,-118.3089
201222086,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,1619,12,77th Street,1268,1,110,CRIMINAL HOMICIDE,1822 0906 1402 0334 0430 1100,27,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,80TH                         ST,SAN PEDRO                    ST,33.967,-118.2695
200717125,12/15/2020 12:00:00 AM,12/15/2020 12:00:00 AM,1255,7,Wilshire,702,1,110,CRIMINAL HOMICIDE,1309 1100 0430 0302 1822 0906 1419 1313 1205 1407,28,M,B,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,7600    MELROSE                      AV,,34.0837,-118.3553
201612848,09/13/2020 12:00:00 AM,09/13/2020 12:00:00 AM,530,16,Foothill,1623,1,110,CRIMINAL HOMICIDE,1402 0906 1822 1407 0430 1100,23,M,H,101.0,STREET,102.0,HAND GUN,JA,Juv Arrest,110.0,998.0,,,11100    DE GARMO                     AV,,34.2715,-118.4123
201320993,12/08/2020 12:00:00 AM,12/08/2020 12:00:00 AM,2050,13,Newton,1391,1,110,CRIMINAL HOMICIDE,1100 0430 1218 1822 0302 0334 1402,58,M,B,103.0,ALLEY,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,300 W  GAGE                         AV,,33.9824,-118.2789
201308423,03/19/2020 12:00:00 AM,03/18/2020 12:00:00 AM,2040,13,Newton,1371,1,110,CRIMINAL HOMICIDE,1402 1407 1100 0430 1822 1218,36,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,200 W  56TH                         ST,,33.9915,-118.2765
200514679,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,155,5,Harbor,528,1,110,CRIMINAL HOMICIDE,1822 0906 1100 0430 1310 1402 1407,19,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,1200    DRUMM                        AV,,33.7894,-118.2458
201501103,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,2112,15,N Hollywood,1515,1,110,CRIMINAL HOMICIDE,1822 1100 0430 1402 0906 1309 0342 1318 0326 0340,27,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,6900    SIMPSON                      AV,,34.1958,-118.389
201805560,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,1458,18,Southeast,1861,1,110,CRIMINAL HOMICIDE,0430 1100 1202 1402 1407 0913,66,M,W,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,600 W  115TH                        ST,,33.9298,-118.2848
200409502,06/04/2020 12:00:00 AM,06/04/2020 12:00:00 AM,2210,4,Hollenbeck,466,1,110,CRIMINAL HOMICIDE,0430 1402 0906 1100 1822,24,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,200 N  SOTO                         ST,,34.0453,-118.2088
201212535,05/10/2020 12:00:00 AM,05/10/2020 12:00:00 AM,227,12,77th Street,1249,1,110,CRIMINAL HOMICIDE,0906 1407 1100 0430 1309 1402 1259 1251 1817 0913,16,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,HOOVER                       ST,68TH                         ST,33.9782,-118.2871
201820048,11/04/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1740,18,Southeast,1841,1,110,CRIMINAL HOMICIDE,1822 0906 1100 1402 0430 1407,43,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,109TH                        ST,FIGUEROA                     ST,33.9374,-118.2826
201909149,04/26/2020 12:00:00 AM,04/26/2020 12:00:00 AM,1908,19,Mission,1995,1,110,CRIMINAL HOMICIDE,1402 0309 1822 1100 0430 1309 1310 0906,26,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,14600    BLYTHE                       ST,,34.2152,-118.451
200413189,09/27/2020 12:00:00 AM,09/27/2020 12:00:00 AM,25,4,Hollenbeck,403,1,110,CRIMINAL HOMICIDE,1218 1100 0430 0906 1822,34,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,4600    GRIFFIN                      AV,,34.1002,-118.2008
200213387,08/05/2020 12:00:00 AM,08/05/2020 12:00:00 AM,1820,2,Rampart,295,1,110,CRIMINAL HOMICIDE,1402 1822 0411 0906,20,M,H,101.0,STREET,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AO,Adult Other,110.0,998.0,,,1600 S  UNION                        AV,,34.0423,-118.2804
200500623,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,1600,5,Harbor,587,1,110,CRIMINAL HOMICIDE,1402 1309 1822 0400,58,M,O,103.0,ALLEY,307.0,VEHICLE,AA,Adult Arrest,110.0,998.0,,,3600 S  CAROLINA                     PL,,33.7115,-118.2912
201222455,10/12/2020 12:00:00 AM,10/12/2020 12:00:00 AM,1600,12,77th Street,1253,1,110,CRIMINAL HOMICIDE,1100 1822 0906 0430 1309,41,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,7800 S  WESTERN                      AV,,33.9682,-118.309
201818467,10/12/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1000,18,Southeast,1827,1,110,CRIMINAL HOMICIDE,1822 1300 1100 0430 1402 1407 0906,20,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,9900    GRAHAM                       AV,,33.946,-118.243
200107640,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,110,1,Central,192,1,110,CRIMINAL HOMICIDE,1100 0430 1822 0906 1270 1402,27,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,1300 S  FLOWER                       ST,,34.0401,-118.2668
201810559,05/05/2020 12:00:00 AM,05/02/2020 12:00:00 AM,918,18,Southeast,1802,1,110,CRIMINAL HOMICIDE,0408 0448 1202 2004 1817 0913,63,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,200 W  87TH                         ST,,33.9586,-118.276
201814209,07/18/2020 12:00:00 AM,07/18/2020 12:00:00 AM,1930,18,Southeast,1827,1,110,CRIMINAL HOMICIDE,1817 0602 1402 0556 0400 0411 0913,21,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205.0,KITCHEN KNIFE,IC,Invest Cont,110.0,998.0,,,9200    GRAHAM                       AV,,33.9506,-118.243
202006845,02/29/2020 12:00:00 AM,02/28/2020 12:00:00 AM,2200,20,Olympic,2062,1,110,CRIMINAL HOMICIDE,0416 0446 0561 0913 1202 1402 2003,72,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,998.0,,,3600    SAN MARINO                   ST,,34.0545,-118.3112
201311145,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,2210,13,Newton,1352,1,110,CRIMINAL HOMICIDE,0411 1218 0913 2004 1814,58,F,B,101.0,STREET,218.0,OTHER CUTTING INSTRUMENT,AA,Adult Arrest,110.0,,,,SAN PEDRO                    PL,45TH                         ST,34.0029,-118.2732
200905908,02/12/2020 12:00:00 AM,02/11/2020 12:00:00 AM,2323,9,Van Nuys,901,1,110,CRIMINAL HOMICIDE,0913 1100 0430 1414 1402,22,M,H,104.0,DRIVEWAY,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,15300    WYANDOTTE                    ST,,34.203,-118.4662
200500820,10/25/2020 12:00:00 AM,10/25/2020 12:00:00 AM,1445,5,Harbor,529,1,110,CRIMINAL HOMICIDE,0430 1822 1218 1100 1402 1407 0906 0312 1419,27,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,800 N  QUAY                         AV,,33.7737,-118.2581
201318057,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,2300,13,Newton,1309,1,110,CRIMINAL HOMICIDE,1822 1100 0430 0302 1402,47,M,A,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1900 E  20TH                         ST,,34.018,-118.2369
201200633,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,2020,12,77th Street,1218,1,110,CRIMINAL HOMICIDE,1100 0302 1822 0430 0906 1402,22,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,58TH                         ST,HOOVER                       ST,33.9897,-118.2871
201205737,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,958,12,77th Street,1251,1,110,CRIMINAL HOMICIDE,1100 1402 1419 1407 0430 1817 0906 0913,36,M,B,102.0,SIDEWALK,102.0,HAND GUN,AO,Adult Other,110.0,,,,3400 W  FLORENCE                     AV,,33.9745,-118.3318
200504437,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,330,5,Harbor,567,1,110,CRIMINAL HOMICIDE,0417 0411 1822 1218,44,M,H,109.0,PARK/PLAYGROUND,207.0,OTHER KNIFE,IC,Invest Cont,110.0,,,,800 S  BEACON                       ST,,33.7369,-118.2804
201220210,09/08/2020 12:00:00 AM,09/08/2020 12:00:00 AM,1555,12,77th Street,1245,1,110,CRIMINAL HOMICIDE,0906 1309 1100 0430 1822 1402,32,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,65TH                         PL,VERMONT                      AV,33.9798,-118.2918
200312005,02/11/2020 12:00:00 AM,01/30/2020 12:00:00 AM,1500,3,Southwest,377,1,110,CRIMINAL HOMICIDE,0408 1278 0913 0342,24,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110.0,,,,1200 W  39TH                         ST,,34.0155,-118.2975
201226015,12/08/2020 12:00:00 AM,12/08/2020 12:00:00 AM,1700,12,77th Street,1211,1,110,CRIMINAL HOMICIDE,1100 1402 0430 1407 0906,31,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,5300    10TH                         AV,,33.9931,-118.3282
211204091,01/02/2021 12:00:00 AM,12/30/2020 12:00:00 AM,30,12,77th Street,1232,1,110,CRIMINAL HOMICIDE,0430 0342 0216 1402 1407 0906 1822,35,M,B,108.0,PARKING LOT,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,3500 W  SLAUSON                      AV,,33.989,-118.333
200218884,12/21/2020 12:00:00 AM,12/21/2020 12:00:00 AM,1845,2,Rampart,285,1,110,CRIMINAL HOMICIDE,0411 0913 0602 0558,6,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207.0,OTHER KNIFE,AA,Adult Arrest,110.0,,,,1800 W  11TH                         PL,,34.0481,-118.2779
201804894,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,2100,18,Southeast,1823,1,110,CRIMINAL HOMICIDE,1100 0430 1817 0906 0913,38,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,400 E  98TH                         ST,,33.9473,-118.2673
201610507,06/29/2020 12:00:00 AM,06/28/2020 12:00:00 AM,2100,16,Foothill,1602,1,110,CRIMINAL HOMICIDE,1402 1100 0430 1309,29,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,12700    MERCER                       ST,,34.2792,-118.4084
200214722,09/06/2020 12:00:00 AM,09/06/2020 12:00:00 AM,1350,2,Rampart,246,1,110,CRIMINAL HOMICIDE,0411 1402 0910 1218 1822,27,M,O,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,110.0,998.0,,,600 S  ALVARADO                     ST,,34.0593,-118.275
210304258,01/07/2021 12:00:00 AM,03/22/2020 12:00:00 AM,453,3,Southwest,363,1,110,CRIMINAL HOMICIDE,0906 0913 0430,37,M,W,701.0,HOSPITAL,106.0,UNKNOWN FIREARM,AO,Adult Other,110.0,,,,4100    BUCKINGHAM                   RD,,34.0099,-118.3446
200804901,01/21/2020 12:00:00 AM,01/20/2020 12:00:00 AM,2210,8,West LA,839,1,110,CRIMINAL HOMICIDE,1402 1409 1822 0906 1100 1407 1419 0430,29,M,B,727.0,SHOPPING MALL (COMMON AREA),109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,10200    SANTA MONICA                 BL,,34.0605,-118.4193
201217324,07/28/2020 12:00:00 AM,07/28/2020 12:00:00 AM,1440,12,77th Street,1245,1,110,CRIMINAL HOMICIDE,1822 0906 1100,42,M,B,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,110.0,,,,1300 W  69TH                         ST,,33.977,-118.3003
201215836,07/03/2020 12:00:00 AM,07/03/2020 12:00:00 AM,1155,12,77th Street,1218,1,110,CRIMINAL HOMICIDE,1240 1822 1100 0430 1402 0906,21,M,B,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,W  53RD                         ST,VERMONT                      AV,33.9941,-118.2915
202113187,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,1500,21,Topanga,2113,1,110,CRIMINAL HOMICIDE,0411 1402 0913 2004,47,M,O,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110.0,998.0,,,7600    FALLBROOK                    AV,,34.2083,-118.6234
202107115,03/09/2020 12:00:00 AM,03/09/2020 12:00:00 AM,425,21,Topanga,2189,1,110,CRIMINAL HOMICIDE,1100 0430 1817 0906 0913,27,M,B,501.0,SINGLE FAMILY DWELLING,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,20500    VENTURA                      BL,,34.1683,-118.5787
200212770,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,41,2,Rampart,236,1,110,CRIMINAL HOMICIDE,0411 1402 1218 0913 2004,49,F,W,101.0,STREET,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,998.0,,,S  BEVERLY                      BL,MOUNTAIN VIEW                AV,34.0664,-118.2698
201016037,12/13/2020 12:00:00 AM,12/13/2020 12:00:00 AM,100,10,West Valley,1035,1,110,CRIMINAL HOMICIDE,1218 1100 1402,31,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,18400    KITTRIDGE                    ST,,34.1902,-118.5335
200704856,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,15,7,Wilshire,752,1,110,CRIMINAL HOMICIDE,1402 0411 0416 0913,34,F,B,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110.0,998.0,,,6000    PICO                         BL,,34.0558,-118.3706
202013971,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,1110,20,Olympic,2011,1,110,CRIMINAL HOMICIDE,1100 2000 0913 0430 1243 1813 1402 1409 1415,28,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,100 S  ST ANDREWS                   PL,,34.0725,-118.3153
201211561,04/26/2020 12:00:00 AM,04/26/2020 12:00:00 AM,16,12,77th Street,1265,1,110,CRIMINAL HOMICIDE,0906 1822 1309 1100 0430 1310,28,F,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,DENKER                       AV,MANCHESTER,33.96,-118.3046
202009671,05/13/2020 12:00:00 AM,05/13/2020 12:00:00 AM,1140,20,Olympic,2081,1,110,CRIMINAL HOMICIDE,1309 1822 1100 0430 0371 1402 0906 1407 0907,24,M,H,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,1800 S  WESTERN                      AV,,34.0418,-118.3134
201819055,10/17/2020 12:00:00 AM,10/17/2020 12:00:00 AM,2240,18,Southeast,1824,1,110,CRIMINAL HOMICIDE,0913 1402 0430 1100 0906,43,M,B,121.0,YARD (RESIDENTIAL/BUSINESS),109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110.0,998.0,,,700 E  103RD                        ST,,33.9433,-118.2608
201313019,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,1830,13,Newton,1377,1,110,CRIMINAL HOMICIDE,1407 1822 1100 1409 0302 0334 0430 1309 0399 0906,18,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,55TH                         ST,ALAMEDA                      ST,33.993,-118.2382
201811121,05/14/2020 12:00:00 AM,04/27/2020 12:00:00 AM,1000,18,Southeast,1823,1,110,CRIMINAL HOMICIDE,0906 1402 1822,44,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,300 E  101ST                        ST,,33.9447,-118.2695
201820285,11/11/2020 12:00:00 AM,11/11/2020 12:00:00 AM,456,18,Southeast,1829,1,110,CRIMINAL HOMICIDE,0906 1822 1100 1300 1310 1312 1240 0216 0430 0857,21,F,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,CENTURY,GRAPE,33.9465,-118.2368
201208651,03/07/2020 12:00:00 AM,03/07/2020 12:00:00 AM,122,12,77th Street,1213,1,110,CRIMINAL HOMICIDE,1100 0430 0342 0906 1822,50,M,B,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,5200 S  VAN NESS                     AV,,33.9951,-118.3171
200515835,10/26/2020 12:00:00 AM,10/26/2020 12:00:00 AM,2120,5,Harbor,587,1,110,CRIMINAL HOMICIDE,1402 0334 0411 1300 1309 0216 0906 1822,24,F,H,102.0,SIDEWALK,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,998.0,,,3600 S  GAFFEY                       ST,,33.7111,-118.2929
200122568,12/20/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2355,1,Central,159,1,110,CRIMINAL HOMICIDE,1822 1100 0430 1419 1407 1402,20,M,B,213.0,WAREHOUSE,106.0,UNKNOWN FIREARM,AO,Adult Other,110.0,998.0,,,400 S  HEWITT                       ST,,34.0428,-118.2353
200119230,10/11/2020 12:00:00 AM,10/11/2020 12:00:00 AM,1930,1,Central,148,1,110,CRIMINAL HOMICIDE,1218 1402 0430 1822 1414 0906,66,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,5TH,SAN PEDRO,34.0442,-118.2439
200615191,09/10/2020 12:00:00 AM,09/10/2020 12:00:00 AM,40,6,Hollywood,645,1,110,CRIMINAL HOMICIDE,0907 1419 1407 0210 0342 1100 0430 1402 0302 0344,33,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,1700 N  ORANGE                       DR,,34.1015,-118.3417
